District,District_Code,Mandal,Mandal_Code,Village,Village_Code
SANGAREDDY,17_2,GUMMADIDALA,03,PYARANAGAR,1739003
SANGAREDDY,17_2,HATHNOOR,04,AKWANCHAGUDA,1740033
SANGAREDDY,17_2,HATHNOOR,04,BORPATLA,1740021
SANGAREDDY,17_2,HATHNOOR,04,CHANDAPUR,1740024
SANGAREDDY,17_2,HATHNOOR,04,CHEEKUMADDUR,1740004
SANGAREDDY,17_2,HATHNOOR,04,CHINTALCHERU,1740027
SANGAREDDY,17_2,HATHNOOR,04,DEVALPALLE,1740013
SANGAREDDY,17_2,HATHNOOR,04,DOULTABAD @ KOTHAPET,1740014
SANGAREDDY,17_2,HATHNOOR,04,GOVINDARAJUPALLE,1740008
SANGAREDDY,17_2,HATHNOOR,04,GUNDLA MACHANUR,1740023
SANGAREDDY,17_2,HATHNOOR,04,HATHNOORA,1740011
SANGAREDDY,17_2,HATHNOOR,04,KASAL,1740012
SANGAREDDY,17_2,HATHNOOR,04,KODAPAK,1740029
SANGAREDDY,17_2,HATHNOOR,04,KONIYAL,1740005
SANGAREDDY,17_2,HATHNOOR,04,LINGAPUR,1740003
SANGAREDDY,17_2,HATHNOOR,04,MACHERLA,1740017
SANGAREDDY,17_2,HATHNOOR,04,MADHURA @ MADHARAM,1740007
SANGAREDDY,17_2,HATHNOOR,04,MALKAPUR,1740019
SANGAREDDY,17_2,HATHNOOR,04,MANGAPUR,1740015
SANGAREDDY,17_2,HATHNOOR,04,NAGARAM,1740030
SANGAREDDY,17_2,HATHNOOR,04,NAGULDEVPALLE,1740009
SANGAREDDY,17_2,JHARASANGAM,05,ANANTHASAGAR,1729035
SANGAREDDY,17_2,JHARASANGAM,05,BARDIPUR,1729014
SANGAREDDY,17_2,JHARASANGAM,05,BIDEKANNA,1729031
SANGAREDDY,17_2,JHARASANGAM,05,BOPANPALLE,1729017
SANGAREDDY,17_2,JHARASANGAM,05,BOREGAON,1729018
SANGAREDDY,17_2,JHARASANGAM,05,CHILEMAMIDI,1729024
SANGAREDDY,17_2,JHARASANGAM,05,CHILEPALLE,1729011
SANGAREDDY,17_2,JHARASANGAM,05,CHILKEPALLE,1729034
SANGAREDDY,17_2,JHARASANGAM,05,DEVARAMPALLE,1729025
