location_id,hospitals,schools,metro,airports,last_updated
1,0,9,0,0,2026-02-12 12:12:43.560724
2,23,0,2,0,2026-02-12 12:13:10.193289
4,35,0,8,0,2026-02-12 12:13:30.222839
5,12,0,0,0,2026-02-12 12:13:53.147540
6,3,6,0,0,2026-02-12 12:14:08.578459
7,88,31,7,0,2026-02-12 12:14:19.668458
3,39,24,6,0,2026-02-12 12:14:26.195178
34,0,0,0,0,2026-02-13 12:14:22.851857
35,0,0,0,0,2026-02-13 12:14:22.851857
36,0,0,0,0,2026-02-13 12:14:22.851857
37,0,0,0,0,2026-02-13 12:14:22.851857
38,0,0,0,0,2026-02-13 12:14:22.851857
39,0,0,0,0,2026-02-13 12:14:22.851857
40,0,0,0,0,2026-02-13 12:14:22.851857
41,0,0,0,0,2026-02-13 12:14:22.851857
42,0,0,0,0,2026-02-13 12:14:22.851857
43,0,0,0,0,2026-02-13 12:14:22.851857
44,0,0,0,0,2026-02-13 12:14:23.042416
45,0,0,0,0,2026-02-13 12:14:23.042416
46,0,0,0,0,2026-02-13 12:14:23.042416
47,0,0,0,0,2026-02-13 12:14:23.042416
48,0,0,0,0,2026-02-13 12:14:23.042416
49,0,0,0,0,2026-02-13 12:14:23.042416
50,0,0,0,0,2026-02-13 12:14:23.042416
51,0,0,0,0,2026-02-13 12:14:23.042416
52,0,0,0,0,2026-02-13 12:14:23.042416
53,0,0,0,0,2026-02-13 12:14:23.042416
54,0,0,0,0,2026-02-13 12:14:23.107527
55,0,0,0,0,2026-02-13 12:14:23.107527
56,0,0,0,0,2026-02-13 12:14:23.107527
57,0,0,0,0,2026-02-13 12:14:23.107527
58,0,0,0,0,2026-02-13 12:14:23.107527
60,0,0,0,0,2026-02-13 12:14:23.107527
61,0,0,0,0,2026-02-13 12:14:23.107527
62,0,0,0,0,2026-02-13 12:14:23.107527
63,0,0,0,0,2026-02-13 12:14:23.107527
64,0,0,0,0,2026-02-13 12:14:23.172908
65,0,0,0,0,2026-02-13 12:14:23.172908
66,0,0,0,0,2026-02-13 12:14:23.172908
67,0,0,0,0,2026-02-13 12:14:23.172908
68,0,0,0,0,2026-02-13 12:14:23.172908
69,0,0,0,0,2026-02-13 12:14:23.172908
70,0,0,0,0,2026-02-13 12:14:23.172908
71,0,0,0,0,2026-02-13 12:14:23.172908
72,0,0,0,0,2026-02-13 12:14:23.172908
73,0,0,0,0,2026-02-13 12:14:23.172908
74,0,0,0,0,2026-02-13 12:14:23.231167
75,0,0,0,0,2026-02-13 12:14:23.231167
76,0,0,0,0,2026-02-13 12:14:23.231167
77,0,0,0,0,2026-02-13 12:14:23.231167
78,0,0,0,0,2026-02-13 12:14:23.231167
79,0,0,0,0,2026-02-13 12:14:23.231167
80,0,0,0,0,2026-02-13 12:14:23.231167
81,0,0,0,0,2026-02-13 12:14:23.231167
82,0,0,0,0,2026-02-13 12:14:23.231167
83,0,0,0,0,2026-02-13 12:14:23.231167
84,0,0,0,0,2026-02-13 12:14:23.307323
85,0,0,0,0,2026-02-13 12:14:23.307323
86,0,0,0,0,2026-02-13 12:14:23.307323
87,0,0,0,0,2026-02-13 12:14:23.307323
88,0,0,0,0,2026-02-13 12:14:23.307323
89,0,0,0,0,2026-02-13 12:14:23.307323
90,0,0,0,0,2026-02-13 12:14:23.307323
91,0,0,0,0,2026-02-13 12:14:23.307323
93,0,0,0,0,2026-02-13 12:14:23.307323
94,0,0,0,0,2026-02-13 12:14:23.373264
95,0,0,0,0,2026-02-13 12:14:23.373264
96,0,0,0,0,2026-02-13 12:14:23.373264
97,0,0,0,0,2026-02-13 12:14:23.373264
98,0,0,0,0,2026-02-13 12:14:23.373264
99,0,0,0,0,2026-02-13 12:14:23.373264
100,0,0,0,0,2026-02-13 12:14:23.373264
101,0,0,0,0,2026-02-13 12:14:23.373264
102,0,0,0,0,2026-02-13 12:14:23.373264
105,0,0,0,0,2026-02-13 12:14:23.434929
106,0,0,0,0,2026-02-13 12:14:23.434929
107,0,0,0,0,2026-02-13 12:14:23.434929
108,0,0,0,0,2026-02-13 12:14:23.434929
109,0,0,0,0,2026-02-13 12:14:23.434929
110,0,0,0,0,2026-02-13 12:14:23.434929
111,0,0,0,0,2026-02-13 12:14:23.434929
112,0,0,0,0,2026-02-13 12:14:23.434929
113,0,0,0,0,2026-02-13 12:14:23.434929
114,0,0,0,0,2026-02-13 12:14:23.486438
115,0,0,0,0,2026-02-13 12:14:23.486438
116,0,0,0,0,2026-02-13 12:14:23.486438
117,0,0,0,0,2026-02-13 12:14:23.486438
118,0,0,0,0,2026-02-13 12:14:23.486438
119,0,0,0,0,2026-02-13 12:14:23.486438
120,0,0,0,0,2026-02-13 12:14:23.486438
121,0,0,0,0,2026-02-13 12:14:23.486438
122,0,0,0,0,2026-02-13 12:14:23.486438
123,0,0,0,0,2026-02-13 12:14:23.486438
124,0,0,0,0,2026-02-13 12:14:23.555039
125,0,0,0,0,2026-02-13 12:14:23.555039
126,0,0,0,0,2026-02-13 12:14:23.555039
127,0,0,0,0,2026-02-13 12:14:23.555039
128,0,0,0,0,2026-02-13 12:14:23.555039
129,0,0,0,0,2026-02-13 12:14:23.555039
130,0,0,0,0,2026-02-13 12:14:23.555039
131,0,0,0,0,2026-02-13 12:14:23.555039
132,0,0,0,0,2026-02-13 12:14:23.555039
133,0,0,0,0,2026-02-13 12:14:23.555039
134,0,0,0,0,2026-02-13 12:14:23.618653
135,0,0,0,0,2026-02-13 12:14:23.618653
136,0,0,0,0,2026-02-13 12:14:23.618653
137,0,0,0,0,2026-02-13 12:14:23.618653
138,0,0,0,0,2026-02-13 12:14:23.618653
139,0,0,0,0,2026-02-13 12:14:23.618653
140,0,0,0,0,2026-02-13 12:14:23.618653
141,0,0,0,0,2026-02-13 12:14:23.618653
142,0,0,0,0,2026-02-13 12:14:23.618653
144,0,0,0,0,2026-02-13 12:14:23.678313
145,0,0,0,0,2026-02-13 12:14:23.678313
146,0,0,0,0,2026-02-13 12:14:23.678313
147,0,0,0,0,2026-02-13 12:14:23.678313
148,0,0,0,0,2026-02-13 12:14:23.678313
149,0,0,0,0,2026-02-13 12:14:23.678313
150,0,0,0,0,2026-02-13 12:14:23.678313
151,0,0,0,0,2026-02-13 12:14:23.678313
152,0,0,0,0,2026-02-13 12:14:23.678313
153,0,0,0,0,2026-02-13 12:14:23.678313
154,0,0,0,0,2026-02-13 12:14:23.730606
155,0,0,0,0,2026-02-13 12:14:23.730606
156,0,0,0,0,2026-02-13 12:14:23.730606
157,0,0,0,0,2026-02-13 12:14:23.730606
158,0,0,0,0,2026-02-13 12:14:23.730606
159,0,0,0,0,2026-02-13 12:14:23.730606
160,0,0,0,0,2026-02-13 12:14:23.730606
161,0,0,0,0,2026-02-13 12:14:23.730606
162,0,0,0,0,2026-02-13 12:14:23.730606
163,0,0,0,0,2026-02-13 12:14:23.730606
165,0,0,0,0,2026-02-13 12:14:23.778724
166,0,0,0,0,2026-02-13 12:14:23.778724
167,0,0,0,0,2026-02-13 12:14:23.778724
168,0,0,0,0,2026-02-13 12:14:23.778724
169,0,0,0,0,2026-02-13 12:14:23.778724
170,0,0,0,0,2026-02-13 12:14:23.778724
171,0,0,0,0,2026-02-13 12:14:23.778724
172,0,0,0,0,2026-02-13 12:14:23.778724
173,0,0,0,0,2026-02-13 12:14:23.778724
174,0,0,0,0,2026-02-13 12:14:23.830655
176,0,0,0,0,2026-02-13 12:14:23.830655
177,0,0,0,0,2026-02-13 12:14:23.830655
178,0,0,0,0,2026-02-13 12:14:23.830655
179,0,0,0,0,2026-02-13 12:14:23.830655
180,0,0,0,0,2026-02-13 12:14:23.830655
181,0,0,0,0,2026-02-13 12:14:23.830655
