id,raw_data_id,sentiment_score,sentiment_label,confidence,processed_at
1477,1300,-0.1314857229590416,neutral,0.7050855159759521,2026-01-17 12:26:02.649021
1478,1353,-0.2507971078157425,neutral,0.6079501509666443,2026-01-17 12:26:02.649021
1483,1301,0.13229485601186752,neutral,0.725799024105072,2026-01-17 12:26:02.649021
1484,1302,-0.2098257802426815,neutral,0.6767286658287048,2026-01-17 12:26:02.649021
1485,1303,-0.43127182498574257,neutral,0.47842732071876526,2026-01-17 12:26:02.649021
1487,1305,-0.07492894679307938,neutral,0.7586528062820435,2026-01-17 12:26:02.649021
1488,1306,0.7884233030490577,positive,0.7910388708114624,2026-01-17 12:26:02.649021
1489,1307,0.27168589644134045,neutral,0.6806067228317261,2026-01-17 12:26:02.649021
1490,1308,0.17672685906291008,neutral,0.7815593481063843,2026-01-17 12:26:02.649021
1492,1310,-0.06779573112726212,neutral,0.7031373977661133,2026-01-17 12:26:02.649021
1494,1312,0.13687564060091972,neutral,0.7484034895896912,2026-01-17 12:26:02.649021
1495,1313,-0.2695494070649147,neutral,0.563194990158081,2026-01-17 12:26:02.649021
1496,1314,-0.26651205867528915,neutral,0.6117724776268005,2026-01-17 12:26:02.649021
1497,1315,-0.058033838868141174,neutral,0.7926216125488281,2026-01-17 12:26:02.649021
1499,1317,-0.6681910995393991,negative,0.6935977935791016,2026-01-17 12:26:02.649021
1501,1319,-0.21849815547466278,neutral,0.6914223432540894,2026-01-17 12:26:02.649021
1503,1340,0.8063087575137615,positive,0.8136451840400696,2026-01-17 12:26:02.649021
1504,1341,-0.14638591930270195,neutral,0.7322111129760742,2026-01-17 12:26:02.649021
1511,1357,-0.13792169094085693,neutral,0.6933653354644775,2026-01-17 12:26:02.649021
1514,1360,-0.2686827704310417,neutral,0.5951548218727112,2026-01-17 12:26:02.649021
1515,1361,-0.14574117213487625,neutral,0.6775667667388916,2026-01-17 12:26:02.649021
1516,1362,0.8936540489085019,positive,0.8986330032348633,2026-01-17 12:26:02.649021
1517,1363,0.42614300083369017,neutral,0.559883177280426,2026-01-17 12:26:02.649021
1518,1364,0.6870453278534114,positive,0.6929160952568054,2026-01-17 12:26:02.649021
1519,1365,0.08544057607650757,neutral,0.830055296421051,2026-01-17 12:26:02.649021
1520,1366,-0.23425497114658356,neutral,0.6336804628372192,2026-01-17 12:26:02.649021
1522,1368,0.1765383929014206,neutral,0.772730827331543,2026-01-17 12:26:02.649021
1523,1369,-0.11894942075014114,neutral,0.655999481678009,2026-01-17 12:26:02.649021
1525,1371,-0.01366320252418518,neutral,0.7389868497848511,2026-01-17 12:26:02.649021
1526,1372,-0.694349373690784,negative,0.7088936567306519,2026-01-17 12:26:02.649021
1527,1373,-0.027448482811450958,neutral,0.781313955783844,2026-01-17 12:26:02.649021
1528,1374,0.127644632011652,neutral,0.7796163558959961,2026-01-17 12:26:02.649021
1537,1375,0.004776120185852051,neutral,0.6987075805664062,2026-01-17 12:26:02.649021
1540,1378,-0.010329481214284897,neutral,0.8671740293502808,2026-01-17 12:26:02.649021
1550,1388,0.3223729804158211,neutral,0.6457117795944214,2026-01-17 12:26:02.649021
1561,1983,-0.09516970813274384,neutral,0.8352879285812378,2026-01-17 12:26:02.649021
